<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.06.27	16:30:00	15.57	15.57	15.39	15.44	114	367170000	0
2023.06.27	17:00:00	15.47	15.90	15.45	15.75	137	785120000	0
2023.06.27	17:30:00	15.71	15.78	15.54	15.65	48	98990000	0
2023.06.27	18:00:00	15.65	15.65	15.38	15.41	63	140040000	0
2023.06.27	18:30:00	15.42	15.42	15.20	15.32	47	199020000	0
2023.06.27	19:00:00	15.27	15.37	15.27	15.37	30	131130000	0
2023.06.27	19:30:00	15.47	15.57	15.47	15.51	39	87500000	0
2023.06.27	20:00:00	15.57	15.57	15.48	15.54	22	67130000	0
2023.06.27	20:30:00	15.52	15.57	15.50	15.56	27	64740000	0
2023.06.27	21:00:00	15.50	15.51	15.41	15.50	25	73350000	0
2023.06.27	21:30:00	15.49	15.53	15.49	15.49	17	33300000	0
2023.06.27	22:00:00	15.48	15.51	15.47	15.49	9	27620000	0
2023.06.27	22:30:00	15.50	15.54	15.46	15.46	35	100670000	0
2023.06.28	16:30:00	15.00	15.00	14.76	14.90	89	686530000	0
2023.06.28	17:00:00	15.04	15.05	14.92	15.02	76	203930000	0
2023.06.28	17:30:00	15.04	15.26	15.02	15.07	84	206950000	0
2023.06.28	18:00:00	15.06	15.18	15.05	15.12	35	101770000	0
2023.06.28	18:30:00	15.14	15.20	15.14	15.16	14	46620000	0
2023.06.28	19:00:00	15.18	15.22	15.15	15.15	21	64340000	0
2023.06.28	19:30:00	15.10	15.13	15.06	15.08	28	85580000	0
2023.06.28	20:00:00	15.03	15.03	14.80	14.94	25	81900000	0
2023.06.28	20:30:00	14.96	14.96	14.81	14.90	36	123410000	0
2023.06.28	21:00:00	14.97	15.04	14.95	15.04	19	32390000	0
2023.06.28	21:30:00	15.03	15.03	14.96	14.97	6	34070000	0
2023.06.28	22:00:00	14.98	15.05	14.80	14.80	16	30610000	0
2023.06.28	22:30:00	14.74	14.87	14.65	14.86	75	221220000	0
2023.06.29	16:30:00	15.53	15.58	15.31	15.33	89	343720000	0
2023.06.29	17:00:00	15.33	15.45	15.33	15.40	43	228970000	0
2023.06.29	17:30:00	15.36	15.38	15.23	15.27	26	138810000	0
2023.06.29	18:00:00	15.27	15.32	15.24	15.31	18	62800000	0
2023.06.29	18:30:00	15.34	15.34	15.31	15.33	25	95250000	0
2023.06.29	19:00:00	15.29	15.38	15.29	15.37	20	64500000	0
2023.06.29	19:30:00	15.36	15.38	15.28	15.31	13	38890000	0
2023.06.29	20:00:00	15.32	15.48	15.30	15.46	65	148280000	0
2023.06.29	20:30:00	15.44	15.45	15.38	15.40	8	17370000	0
2023.06.29	21:00:00	15.42	15.45	15.41	15.45	8	14610000	0
2023.06.29	21:30:00	15.48	15.51	15.43	15.47	35	86340000	0
2023.06.29	22:00:00	15.44	15.44	15.35	15.38	15	50760000	0
2023.06.29	22:30:00	15.36	15.42	15.35	15.38	9	61500000	0
2023.06.30	16:30:00	15.85	15.86	14.15	14.70	250	938370000	0
2023.06.30	17:00:00	14.83	14.97	14.55	14.84	105	286250000	0
2023.06.30	17:30:00	14.87	14.89	14.67	14.73	50	214010000	0
2023.06.30	18:00:00	14.70	14.87	14.70	14.71	27	116160000	0
2023.06.30	18:30:00	14.73	14.75	14.65	14.68	38	94850000	0
2023.06.30	19:00:00	14.67	14.80	14.59	14.80	33	137830000	0
2023.06.30	19:30:00	14.86	15.20	14.84	15.12	65	201180000	0
2023.06.30	20:00:00	15.17	15.40	15.11	15.31	23	56500000	0
2023.06.30	20:30:00	15.30	15.36	15.19	15.19	56	199190000	0
2023.06.30	21:00:00	15.19	15.23	15.15	15.17	9	92310000	0
2023.06.30	21:30:00	15.15	15.15	15.03	15.03	11	41510000	0
2023.06.30	22:00:00	15.07	15.12	15.07	15.11	9	23000000	0
2023.06.30	22:30:00	15.06	15.18	15.03	15.05	62	249840000	0
2023.07.03	16:30:00	15.31	15.41	15.27	15.30	43	187730000	0
2023.07.03	17:00:00	15.33	15.39	15.32	15.37	64	296990000	0
2023.07.03	17:30:00	15.36	15.44	15.33	15.36	23	118320000	0
2023.07.03	18:00:00	15.55	15.65	15.54	15.63	52	195080000	0
2023.07.03	18:30:00	15.65	15.87	15.65	15.82	68	445380000	0
2023.07.03	19:00:00	15.85	15.89	15.66	15.72	53	215770000	0
2023.07.03	19:30:00	15.76	15.82	15.70	15.80	21	106270000	0
2023.07.03	20:00:00	15.79	15.79	15.79	15.79	1	0	0
2023.07.03	20:30:00	15.77	15.78	15.77	15.78	2	3000000	0
2023.07.03	21:00:00	15.79	15.82	15.79	15.82	3	40000000	0
2023.07.03	21:30:00	15.89	15.96	15.89	15.96	2	11000000	0
2023.07.03	22:00:00	15.94	16.00	15.94	16.00	2	2000000	0
2023.07.03	22:30:00	15.79	16.12	15.79	16.11	12	62030000	0
2023.07.05	16:30:00	14.80	14.95	14.77	14.93	101	388410000	0
2023.07.05	17:00:00	14.91	14.99	14.91	14.97	44	211610000	0
2023.07.05	17:30:00	14.97	15.03	14.95	14.98	55	240510000	0
2023.07.05	18:00:00	14.99	14.99	14.83	14.85	33	86510000	0
2023.07.05	18:30:00	14.93	14.94	14.83	14.92	27	141290000	0
2023.07.05	19:00:00	14.91	15.06	14.91	15.06	24	57250000	0
2023.07.05	19:30:00	15.00	15.09	15.00	15.09	18	42430000	0
2023.07.05	20:00:00	15.09	15.15	15.05	15.12	28	178840000	0
2023.07.05	20:30:00	15.14	15.15	15.12	15.14	12	132460000	0
2023.07.05	21:00:00	15.23	15.23	15.05	15.05	20	134590000	0
2023.07.05	21:30:00	15.10	15.12	15.07	15.11	15	44290000	0
2023.07.05	22:00:00	15.15	15.16	15.11	15.13	13	79050000	0
2023.07.05	22:30:00	15.15	15.17	15.01	15.02	53	156100000	0
2023.07.06	16:30:00	15.18	15.21	14.94	14.94	85	356190000	0
2023.07.06	17:00:00	14.95	15.02	14.60	14.60	38	119540000	0
2023.07.06	17:30:00	14.65	14.73	14.42	14.69	124	434950000	0
2023.07.06	18:00:00	14.68	14.80	14.60	14.76	21	54790000	0
2023.07.06	18:30:00	14.94	15.02	14.85	15.00	31	337860000	0
2023.07.06	19:00:00	14.93	14.98	14.86	14.91	7	29000000	0
2023.07.06	19:30:00	14.90	14.90	14.74	14.74	10	88830000	0
2023.07.06	20:00:00	14.89	14.89	14.80	14.80	7	212500000	0
2023.07.06	20:30:00	14.78	14.81	14.76	14.76	4	4500000	0
2023.07.06	21:00:00	14.86	14.86	14.75	14.75	7	18720000	0
2023.07.06	21:30:00	14.82	14.83	14.75	14.79	11	74870000	0
2023.07.06	22:00:00	14.88	14.88	14.82	14.83	14	136000000	0
2023.07.06	22:30:00	14.82	14.86	14.80	14.86	13	35960000	0
2023.07.07	16:30:00	14.80	14.96	14.77	14.95	33	168200000	0
2023.07.07	17:00:00	14.96	15.02	14.78	14.85	39	157530000	0
2023.07.07	17:30:00	14.82	14.91	14.82	14.91	6	25500000	0
2023.07.07	18:00:00	14.92	14.95	14.86	14.88	36	123110000	0
2023.07.07	18:30:00	14.88	14.95	14.88	14.91	8	18350000	0
2023.07.07	19:00:00	14.93	14.95	14.87	14.87	8	20000000	0
2023.07.07	19:30:00	14.89	14.93	14.87	14.88	9	22580000	0
2023.07.07	20:00:00	14.87	14.87	14.76	14.81	11	87840000	0
2023.07.07	20:30:00	14.76	14.80	14.75	14.76	12	49640000	0
2023.07.07	21:00:00	14.75	14.77	14.74	14.74	7	24870000	0
2023.07.07	21:30:00	14.70	14.70	14.63	14.66	31	179810000	0
2023.07.07	22:00:00	14.65	14.71	14.65	14.68	13	33150000	0
2023.07.07	22:30:00	14.68	14.72	14.67	14.71	15	36020000	0
2023.07.10	16:30:00	14.68	14.85	14.68	14.75	63	433180000	0
2023.07.10	17:00:00	14.78	14.85	14.75	14.79	24	98680000	0
2023.07.10	17:30:00	14.81	14.85	14.75	14.83	16	143000000	0
2023.07.10	18:00:00	14.85	14.85	14.80	14.80	9	12840000	0
2023.07.10	18:30:00	14.83	14.87	14.83	14.83	10	54350000	0
2023.07.10	19:00:00	14.81	14.81	14.80	14.81	4	4000000	0
2023.07.10	19:30:00	14.82	14.90	14.81	14.88	8	20980000	0
2023.07.10	20:00:00	14.88	14.88	14.85	14.85	13	142800000	0
2023.07.10	20:30:00	14.87	14.87	14.79	14.79	23	160790000	0
2023.07.10	21:00:00	14.79	14.87	14.77	14.87	25	67980000	0
2023.07.10	21:30:00	14.87	15.08	14.86	15.07	66	375380000	0
2023.07.10	22:00:00	15.10	15.16	15.05	15.10	46	246340000	0
2023.07.10	22:30:00	15.13	15.37	15.13	15.36	63	314810000	0
2023.07.11	16:30:00	14.84	14.94	14.77	14.88	71	489160000	0
2023.07.11	17:00:00	14.87	15.02	14.84	14.97	25	93970000	0
2023.07.11	17:30:00	14.95	15.10	14.95	15.00	61	515030000	0
2023.07.11	18:00:00	15.02	15.29	15.02	15.13	24	70140000	0
2023.07.11	18:30:00	15.05	15.06	14.97	15.05	24	105280000	0
2023.07.11	19:00:00	15.10	15.10	14.99	15.02	20	86850000	0
2023.07.11	19:30:00	14.99	15.17	14.99	15.14	20	103990000	0
2023.07.11	20:00:00	15.14	15.14	15.09	15.09	12	102890000	0
2023.07.11	20:30:00	15.08	15.11	15.00	15.06	22	47970000	0
2023.07.11	21:00:00	15.01	15.01	14.97	14.97	5	5000000	0
2023.07.11	21:30:00	14.95	14.95	14.86	14.95	14	40800000	0
2023.07.11	22:00:00	14.96	15.02	14.94	15.02	9	24880000	0
2023.07.11	22:30:00	15.03	15.07	15.01	15.06	35	296410000	0
2023.07.12	16:30:00	15.17	15.19	14.93	15.09	63	262320000	0
2023.07.12	17:00:00	15.11	15.30	15.11	15.23	46	332260000	0
2023.07.12	17:30:00	15.22	15.33	15.22	15.22	36	179670000	0
2023.07.12	18:00:00	15.22	15.27	15.11	15.12	23	238770000	0
2023.07.12	18:30:00	15.05	15.05	14.94	14.95	28	180990000	0
2023.07.12	19:00:00	14.98	14.98	14.86	14.92	15	38720000	0
2023.07.12	19:30:00	14.93	14.97	14.88	14.88	11	60800000	0
2023.07.12	20:00:00	14.93	14.94	14.86	14.88	13	68780000	0
2023.07.12	20:30:00	14.89	14.98	14.87	14.91	41	287020000	0
2023.07.12	21:00:00	14.90	14.96	14.90	14.96	10	37840000	0
2023.07.12	21:30:00	15.01	15.02	14.99	14.99	17	57240000	0
2023.07.12	22:00:00	15.00	15.00	14.71	14.84	39	125620000	0
2023.07.12	22:30:00	14.81	14.82	14.64	14.74	53	212040000	0
2023.07.13	16:30:00	15.03	15.18	15.03	15.18	52	322030000	0
