Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($),Equity After Close
2024-01-03 20:30,2024-01-03 21:00,SHORT,100,23.23,22.58,65.0,100060.42
2024-01-03 21:30,2024-01-04 17:00,SHORT,100,23.12,24.3,-118.0,99937.68
2024-01-04 17:30,2024-01-04 18:30,LONG,200,24.87,24.58,-58.0,99869.79
2024-01-04 19:00,2024-01-04 19:30,SHORT,400,24.52,24.73,-84.0,99766.09
2024-01-04 20:00,2024-01-04 21:00,LONG,800,24.63,24.76,104.0,99830.57
2024-01-04 21:30,2024-01-04 22:00,LONG,100,25.1,24.68,-42.0,99783.6
2024-01-04 22:30,2024-01-05 17:00,SHORT,200,24.76,23.98,156.0,99929.85
2024-01-05 17:30,2024-01-05 18:00,SHORT,100,24.19,24.01,18.0,99943.03
2024-01-05 18:30,2024-01-05 19:00,SHORT,100,23.8,23.72,8.0,99946.28
2024-01-05 19:30,2024-01-05 20:00,SHORT,100,23.85,24.08,-23.0,99918.48
2024-01-05 20:30,2024-01-05 21:00,LONG,200,23.95,24.06,22.0,99930.88
2024-01-05 21:30,2024-01-05 22:30,SHORT,100,24.05,24.22,-17.0,99909.05
2024-01-08 16:30,2024-01-08 17:00,LONG,200,25.66,25.47,-38.0,99860.83
2024-01-08 17:30,2024-01-08 18:00,SHORT,400,25.39,25.62,-92.0,99748.42
2024-01-08 18:30,2024-01-08 19:30,LONG,800,25.64,25.94,240.0,99947.16
2024-01-08 20:00,2024-01-08 20:30,LONG,100,26.4,26.88,48.0,99989.83
2024-01-08 21:00,2024-01-08 21:30,LONG,100,27.93,27.63,-30.0,99954.28
2024-01-08 22:00,2024-01-09 16:30,SHORT,200,27.94,27.62,64.0,100007.16
2024-01-09 17:00,2024-01-09 17:30,LONG,100,27.34,27.53,19.0,100020.68
2024-01-09 18:00,2024-01-09 18:30,LONG,100,27.74,27.59,-15.0,100000.14
2024-01-09 19:00,2024-01-09 19:30,SHORT,200,27.74,27.5,48.0,100037.1
2024-01-09 20:00,2024-01-09 22:00,LONG,100,27.4,27.63,23.0,100054.59
2024-01-09 22:30,2024-01-10 17:00,LONG,100,27.54,25.0,-254.0,99795.34
2024-01-10 17:30,2024-01-10 18:00,SHORT,200,25.54,25.97,-86.0,99699.04
2024-01-10 18:30,2024-01-10 19:00,LONG,400,25.9,25.71,-76.0,99602.39
2024-01-10 19:30,2024-01-10 20:00,SHORT,800,26.12,27.06,-752.0,98807.85
2024-01-10 20:30,2024-01-10 21:30,LONG,1600,27.12,26.92,-320.0,98401.39
2024-01-10 22:00,2024-01-10 22:30,SHORT,3200,26.91,26.31,1920.0,100151.08
2024-01-11 16:30,2024-01-11 17:00,LONG,100,28.66,29.64,98.0,100243.25
2024-01-11 17:30,2024-01-11 18:00,LONG,100,28.47,27.15,-132.0,100105.69
2024-01-11 18:30,2024-01-11 19:30,SHORT,200,26.22,26.06,32.0,100127.23
2024-01-11 20:00,2024-01-11 22:00,SHORT,100,26.91,27.1,-19.0,100102.83
2024-01-11 22:30,2024-01-12 16:30,LONG,200,27.14,26.07,-214.0,99878.19
2024-01-12 17:00,2024-01-12 17:30,SHORT,400,25.53,24.83,280.0,100138.05
2024-01-12 18:00,2024-01-12 18:30,SHORT,100,24.22,23.93,29.0,100162.23
2024-01-12 19:00,2024-01-12 19:30,SHORT,100,23.29,23.09,20.0,100177.59
2024-01-12 20:00,2024-01-12 20:30,SHORT,100,23.55,23.37,18.0,100190.9
2024-01-12 21:00,2024-01-12 21:30,SHORT,100,23.35,23.48,-13.0,100173.22
2024-01-12 22:00,2024-01-12 22:30,LONG,200,23.2,23.58,76.0,100239.86
2024-01-16 16:30,2024-01-16 17:00,SHORT,100,22.69,22.47,22.0,100257.35
2024-01-16 17:30,2024-01-16 18:00,SHORT,100,22.94,23.17,-23.0,100229.74
2024-01-16 18:30,2024-01-16 20:00,LONG,200,23.06,22.94,-24.0,100196.54
2024-01-16 20:30,2024-01-16 21:30,SHORT,400,22.81,22.98,-68.0,100110.22
2024-01-16 22:00,2024-01-17 17:00,LONG,800,23.07,22.3,-616.0,99457.92
2024-01-17 17:30,2024-01-17 18:30,SHORT,1600,22.42,22.2,352.0,99738.53
2024-01-17 19:00,2024-01-17 21:00,SHORT,100,22.14,22.38,-24.0,99710.08
2024-01-17 21:30,2024-01-17 22:00,LONG,200,22.55,22.42,-26.0,99675.09
2024-01-17 22:30,2024-01-18 16:30,SHORT,400,22.47,22.37,40.0,99697.15
2024-01-18 17:00,2024-01-18 18:00,SHORT,100,22.61,22.4,21.0,99713.65
2024-01-18 18:30,2024-01-18 19:00,SHORT,100,22.27,21.67,60.0,99769.25
2024-01-18 19:30,2024-01-18 20:00,SHORT,100,21.89,21.52,37.0,99801.91
2024-01-18 20:30,2024-01-18 21:30,SHORT,100,21.15,21.29,-14.0,99783.67
2024-01-18 22:00,2024-01-18 22:30,LONG,200,20.67,20.44,-46.0,99729.45
2024-01-19 16:30,2024-01-19 17:00,SHORT,400,20.76,20.65,44.0,99756.88
2024-01-19 17:30,2024-01-19 18:30,SHORT,100,20.53,20.21,32.0,99784.81
