Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($),Equity After Close
2024-01-03 20:30,2024-01-08 19:30,SHORT,100,23.23,25.94,-271.0,99724.08
2024-01-08 20:00,2024-01-11 17:00,LONG,200,26.4,29.64,648.0,100360.88
2024-01-11 17:30,2024-01-12 17:00,LONG,100,28.47,25.53,-294.0,100061.48
2024-01-12 17:30,2024-01-17 18:00,SHORT,200,24.83,22.32,502.0,100554.04
2024-01-17 18:30,2024-01-22 21:30,SHORT,100,22.2,19.51,269.0,100818.87
2024-01-22 22:00,2024-01-29 18:00,SHORT,100,19.38,22.24,-286.0,100528.71
2024-01-29 18:30,2024-02-08 18:00,LONG,200,22.6,25.12,504.0,101023.17
2024-02-08 18:30,2024-02-09 19:30,LONG,100,24.93,27.54,261.0,101278.92
2024-02-09 20:00,2024-02-12 18:00,LONG,100,27.6,30.19,259.0,101532.14
2024-02-12 18:30,2024-02-14 17:00,LONG,100,30.02,32.62,260.0,101785.88
2024-02-14 17:30,2024-02-26 21:30,LONG,100,32.52,35.34,282.0,102061.09
2024-02-26 22:00,2024-02-27 17:00,LONG,100,35.46,38.6,314.0,102367.69
2024-02-27 17:30,2024-02-28 17:00,LONG,100,38.98,44.01,503.0,102862.39
2024-02-28 17:30,2024-03-04 17:00,LONG,100,44.17,50.09,592.0,103444.96
2024-03-04 17:30,2024-03-05 17:00,LONG,100,49.97,54.28,431.0,103865.54
2024-03-05 17:30,2024-03-05 19:00,LONG,100,51.27,48.61,-266.0,103589.55
2024-03-05 19:30,2024-03-05 22:00,SHORT,200,47.18,42.41,954.0,104525.63
2024-03-05 22:30,2024-03-06 17:00,SHORT,100,44.19,48.54,-435.0,104081.36
2024-03-06 17:30,2024-03-07 19:30,LONG,200,48.78,51.6,564.0,104625.28
2024-03-07 20:00,2024-03-08 17:30,LONG,100,51.21,54.6,339.0,104953.7
2024-03-08 18:00,2024-03-11 17:00,LONG,100,51.01,58.13,712.0,105654.79
2024-03-11 17:30,2024-03-12 18:30,LONG,100,58.64,55.36,-328.0,105315.39
2024-03-12 19:00,2024-03-13 17:00,SHORT,200,55.18,58.17,-598.0,104694.72
2024-03-13 17:30,2024-03-14 17:30,LONG,400,58.54,55.19,-1340.0,103309.22
2024-03-14 18:00,2024-03-14 22:00,SHORT,800,55.2,52.68,2016.0,105238.92
2024-03-14 22:30,2024-03-15 17:00,SHORT,100,54.45,51.72,273.0,105501.3
2024-03-15 17:30,2024-03-15 21:00,SHORT,100,51.37,54.19,-282.0,105208.75
2024-03-15 21:30,2024-03-15 22:30,LONG,200,53.86,51.27,-518.0,104669.72
2024-03-18 16:30,2024-03-19 17:00,SHORT,400,49.5,42.69,2724.0,107356.84
2024-03-19 17:30,2024-03-19 19:00,SHORT,100,42.97,46.08,-311.0,107036.94
2024-03-19 19:30,2024-03-19 22:30,LONG,200,46.87,44.2,-534.0,106484.73
2024-03-20 16:30,2024-03-20 22:30,SHORT,400,44.79,48.86,-1628.0,104819.27
2024-03-21 16:30,2024-03-21 20:30,LONG,800,49.1,46.52,-2064.0,102678.77
2024-03-21 21:00,2024-03-22 17:00,SHORT,1600,45.96,42.6,5376.0,107913.07
2024-03-22 17:30,2024-03-25 17:00,SHORT,100,44.48,51.77,-729.0,107174.45
2024-03-25 17:30,2024-03-28 17:00,LONG,200,51.9,54.66,552.0,107705.14
