Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($),Equity After Close
2023-07-05 20:30,2023-07-06 17:00,SHORT,100,63.83,61.07,276.0,100263.51
2023-07-06 17:30,2023-07-06 20:00,SHORT,100,60.99,64.51,-352.0,99898.96
2023-07-06 20:30,2023-07-07 20:30,LONG,200,61.7,58.78,-584.0,99290.86
2023-07-07 21:00,2023-07-07 21:30,SHORT,400,57.98,59.63,-660.0,98583.82
2023-07-07 22:00,2023-07-10 17:00,LONG,800,59.0,61.9,2320.0,100807.1
2023-07-10 17:30,2023-07-11 17:00,SHORT,100,62.46,64.73,-227.0,100567.38
2023-07-11 17:30,2023-07-12 17:00,LONG,200,66.05,62.29,-752.0,99789.71
2023-07-12 17:30,2023-07-12 19:30,SHORT,400,62.19,60.38,724.0,100464.68
2023-07-12 20:00,2023-07-13 18:00,SHORT,100,61.17,59.01,216.0,100668.67
2023-07-13 18:30,2023-07-14 18:30,SHORT,100,58.88,56.44,244.0,100901.13
2023-07-14 19:00,2023-07-18 17:00,SHORT,100,56.4,61.16,-476.0,100413.38
2023-07-18 17:30,2023-07-20 17:00,LONG,200,60.86,65.64,956.0,101344.08
2023-07-20 17:30,2023-07-20 19:00,LONG,100,65.59,67.18,159.0,101489.8
2023-07-20 19:30,2023-07-21 17:00,LONG,100,67.2,65.45,-175.0,101301.54
2023-07-21 17:30,2023-07-24 18:30,SHORT,200,65.66,63.75,382.0,101657.66
2023-07-24 19:00,2023-07-25 19:00,SHORT,100,63.88,67.22,-334.0,101310.55
2023-07-25 19:30,2023-07-25 21:00,LONG,200,65.32,67.04,344.0,101628.07
2023-07-25 21:30,2023-07-26 17:00,LONG,100,67.19,64.22,-297.0,101317.93
2023-07-26 17:30,2023-07-27 17:00,SHORT,200,64.18,62.7,296.0,101588.56
2023-07-27 17:30,2023-07-27 18:00,SHORT,100,62.45,59.12,333.0,101909.4
2023-07-27 18:30,2023-07-28 17:00,SHORT,100,59.4,62.12,-272.0,101625.25
2023-07-28 17:30,2023-07-28 19:30,LONG,200,62.33,60.49,-368.0,101232.68
2023-07-28 20:00,2023-07-28 21:30,SHORT,400,60.63,62.35,-688.0,100495.49
2023-07-28 22:00,2023-08-01 17:00,LONG,800,62.22,57.98,-3392.0,97007.33
2023-08-02 18:00,2023-08-03 17:00,SHORT,1600,54.5,56.64,-3424.0,93405.51
2023-12-11 17:00,2023-12-11 21:00,LONG,3200,24.49,26.65,6912.0,100153.86
2023-12-11 21:30,2023-12-12 17:00,SHORT,100,26.97,25.19,178.0,100326.64
2023-12-12 17:30,2023-12-12 22:00,SHORT,100,25.99,24.27,172.0,100493.62
