<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	16:30:00	8.15	8.18	8.10	8.13	117	728390000	0
2020.01.02	17:00:00	8.11	8.15	7.93	7.99	176	1231090000	0
2020.01.02	17:30:00	8.00	8.02	7.96	7.97	48	398050000	0
2020.01.02	18:00:00	7.97	7.98	7.88	7.89	67	560930000	0
2020.01.02	18:30:00	7.89	7.96	7.88	7.94	44	262580000	0
2020.01.02	19:00:00	7.95	7.99	7.92	7.96	37	148880000	0
2020.01.02	19:30:00	7.97	7.97	7.92	7.93	24	88080000	0
2020.01.02	20:00:00	7.93	7.93	7.90	7.92	22	105240000	0
2020.01.02	20:30:00	7.91	7.92	7.86	7.92	25	111610000	0
2020.01.02	21:00:00	7.93	7.96	7.87	7.87	31	132000000	0
2020.01.02	21:30:00	7.91	7.97	7.91	7.97	19	89490000	0
2020.01.02	22:00:00	7.97	7.98	7.95	7.96	18	154910000	0
2020.01.02	22:30:00	7.96	7.98	7.94	7.94	62	509160000	0
2020.01.03	16:30:00	8.00	8.01	7.93	7.94	47	416920000	0
2020.01.03	17:00:00	7.94	7.96	7.91	7.93	32	128080000	0
2020.01.03	17:30:00	7.92	8.05	7.92	8.04	61	414210000	0
2020.01.03	18:00:00	8.05	8.19	8.05	8.10	94	1247060000	0
2020.01.03	18:30:00	8.10	8.13	8.03	8.11	17	106900000	0
2020.01.03	19:00:00	8.11	8.11	8.06	8.07	12	38500000	0
2020.01.03	19:30:00	8.02	8.02	7.97	7.97	36	157490000	0
2020.01.03	20:00:00	8.00	8.01	8.00	8.01	2	7000000	0
2020.01.03	20:30:00	7.98	7.98	7.94	7.96	10	52150000	0
2020.01.03	21:00:00	7.95	8.03	7.95	8.02	21	118060000	0
2020.01.03	21:30:00	8.03	8.03	8.00	8.02	8	69500000	0
2020.01.03	22:00:00	8.00	8.01	7.98	8.00	12	88200000	0
2020.01.03	22:30:00	7.99	8.02	7.97	7.97	30	94500000	0
2020.01.06	16:30:00	8.23	8.28	8.19	8.19	60	909790000	0
2020.01.06	17:00:00	8.21	8.21	8.16	8.19	55	353700000	0
2020.01.06	17:30:00	8.15	8.16	8.12	8.15	27	205000000	0
2020.01.06	18:00:00	8.12	8.13	8.05	8.09	37	172650000	0
2020.01.06	18:30:00	8.10	8.12	8.09	8.09	12	54800000	0
2020.01.06	19:00:00	8.16	8.20	8.15	8.19	21	284610000	0
2020.01.06	19:30:00	8.20	8.20	8.17	8.17	6	20000000	0
2020.01.06	20:00:00	8.15	8.16	8.11	8.13	18	652100000	0
2020.01.06	20:30:00	8.08	8.13	8.08	8.12	11	76700000	0
2020.01.06	21:00:00	8.13	8.19	8.13	8.19	13	55600000	0
2020.01.06	21:30:00	8.21	8.27	8.21	8.26	47	548970000	0
2020.01.06	22:00:00	8.26	8.27	8.24	8.27	19	91600000	0
2020.01.06	22:30:00	8.27	8.29	8.26	8.28	62	490310000	0
2020.01.07	16:30:00	8.17	8.21	8.17	8.19	8	80830000	0
2020.01.07	17:00:00	8.20	8.26	8.20	8.24	16	349730000	0
2020.01.07	17:30:00	8.25	8.26	8.19	8.24	51	282350000	0
2020.01.07	18:00:00	8.26	8.37	8.26	8.34	38	161680000	0
2020.01.07	18:30:00	8.34	8.35	8.32	8.33	26	151870000	0
2020.01.07	19:00:00	8.29	8.35	8.29	8.30	10	444110000	0
2020.01.07	19:30:00	8.31	8.36	8.31	8.36	23	299160000	0
2020.01.07	20:00:00	8.38	8.43	8.34	8.37	200	767680000	0
