Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($),Equity After Close
2023-07-05 20:30,2023-07-06 19:30,SHORT,100,63.83,60.71,312.0,100299.55
2023-07-06 20:00,2023-07-06 21:30,SHORT,100,64.51,61.04,347.0,100633.99
2023-07-06 22:00,2023-07-07 21:00,SHORT,100,61.7,57.98,372.0,100994.02
2023-07-07 21:30,2023-07-10 18:30,SHORT,100,59.63,63.31,-368.0,100613.73
2023-07-10 19:00,2023-07-13 18:00,LONG,200,63.44,59.01,-886.0,99703.24
2023-07-13 18:30,2023-07-14 20:30,SHORT,400,58.88,55.87,1204.0,100861.34
2023-07-14 21:00,2023-07-18 17:00,SHORT,100,56.38,61.16,-478.0,100371.59
2023-07-18 17:30,2023-07-20 17:00,LONG,200,60.86,65.64,956.0,101302.29
2023-07-20 17:30,2023-07-27 17:30,LONG,100,65.59,62.45,-314.0,100975.48
2023-07-27 18:00,2023-07-28 17:30,SHORT,200,59.12,62.33,-642.0,100309.19
2023-07-28 18:00,2023-08-01 17:00,LONG,400,61.81,57.98,-1532.0,98729.28
2023-08-01 17:30,2023-08-02 18:00,SHORT,800,58.42,54.5,3136.0,101774.94
2023-08-02 18:30,2023-08-03 18:00,SHORT,100,54.68,58.38,-370.0,101393.63
2023-08-03 18:30,2023-08-07 17:00,LONG,200,58.67,64.39,1144.0,102513.02
2023-08-07 17:30,2023-08-08 20:00,LONG,100,65.03,68.13,310.0,102809.71
2023-08-08 20:30,2023-08-09 17:00,LONG,100,68.8,75.91,711.0,103506.23
2023-08-09 17:30,2023-08-10 18:00,LONG,100,75.25,70.91,-434.0,103057.62
2023-08-10 18:30,2023-08-16 17:00,SHORT,200,70.66,65.67,998.0,104028.35
2023-08-16 17:30,2023-08-22 17:30,SHORT,100,66.16,62.81,335.0,104350.46
2023-08-22 18:00,2023-08-23 20:00,SHORT,100,62.52,59.28,324.0,104662.28
2023-08-23 20:30,2023-08-24 19:30,SHORT,100,59.12,62.36,-324.0,104326.13
2023-08-24 20:00,2023-08-29 18:30,LONG,200,62.2,59.09,-622.0,103679.87
2023-08-29 19:00,2023-08-30 21:00,SHORT,400,59.17,62.5,-1332.0,102299.2
2023-08-30 21:30,2023-09-05 17:00,LONG,800,63.81,57.24,-5256.0,96946.36
2023-09-07 17:00,2023-09-12 18:30,SHORT,1600,54.22,58.45,-6768.0,89998.09
2023-12-11 17:00,2023-12-15 16:30,LONG,3200,24.49,28.0,11232.0,101062.12
2023-12-15 17:00,2024-01-03 17:00,LONG,100,27.84,32.35,451.0,101507.1
2024-01-03 17:30,2024-01-04 22:00,LONG,100,31.72,35.09,337.0,101837.42
2024-01-04 22:30,2024-01-08 17:00,LONG,100,34.99,31.86,-313.0,101517.74
2024-01-08 17:30,2024-01-08 21:30,SHORT,200,32.15,35.46,-662.0,100842.21
2024-01-08 22:00,2024-01-09 20:30,LONG,400,35.69,39.17,1392.0,102204.27
2024-01-09 21:00,2024-01-10 17:00,LONG,100,40.33,36.08,-425.0,101771.63
2024-01-10 17:30,2024-01-16 17:00,SHORT,200,36.01,31.83,836.0,102594.06
2024-01-16 17:30,2024-01-19 17:00,SHORT,100,32.16,28.15,401.0,102989.03
2024-01-19 17:30,2024-01-22 17:00,SHORT,100,27.47,23.62,385.0,103368.92
2024-01-22 17:30,2024-02-06 22:30,SHORT,100,23.69,20.53,316.0,103680.5
2024-02-07 16:30,2024-02-09 19:30,SHORT,100,20.82,17.57,325.0,104001.66
2024-02-09 20:00,2024-02-14 17:00,SHORT,100,17.57,14.39,318.0,104316.46
2024-02-14 17:30,2024-02-28 18:00,SHORT,100,14.4,17.56,-316.0,103997.27
2024-02-28 18:30,2024-03-12 17:00,LONG,200,17.46,14.33,-626.0,103364.91
2024-03-12 17:30,2024-05-16 17:00,SHORT,400,14.3,17.93,-1452.0,101900.02
2024-05-16 17:30,2024-05-22 18:30,LONG,800,18.04,21.18,2512.0,104380.64
2024-05-22 19:00,2024-05-29 17:00,LONG,100,21.67,18.03,-364.0,104012.67
2024-05-29 17:30,2024-06-10 17:00,SHORT,200,18.07,22.78,-942.0,103062.5
2024-06-10 17:30,2024-06-17 17:00,LONG,400,22.53,18.95,-1432.0,101613.91
2024-06-17 17:30,2024-06-28 20:00,SHORT,800,18.91,15.73,2544.0,104130.2
2024-06-28 20:30,2024-07-10 18:30,SHORT,100,15.69,12.48,321.0,104448.38
2024-07-10 19:00,2024-07-29 17:30,SHORT,100,12.44,9.2,324.0,104770.22
