<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.07.09	16:30:00	26.70	27.41	26.53	27.05	16196	8715792	1
2025.07.09	17:00:00	27.07	27.22	26.72	26.74	8602	5225882	1
2025.07.09	17:30:00	26.74	26.74	26.08	26.16	9838	6521335	1
2025.07.09	18:00:00	26.16	26.29	25.89	26.28	7351	4521090	1
2025.07.09	18:30:00	26.28	26.33	26.08	26.21	3191	2064288	1
2025.07.09	19:00:00	26.21	26.36	26.16	26.32	2032	1309985	1
2025.07.09	19:30:00	26.32	26.50	26.29	26.40	2608	1641522	1
2025.07.09	20:00:00	26.40	26.60	26.39	26.50	2951	1692184	1
2025.07.09	20:30:00	26.50	26.69	26.45	26.64	2107	1134931	1
2025.07.09	21:00:00	26.64	26.76	26.54	26.59	2493	1512877	1
2025.07.09	21:30:00	26.59	26.75	26.53	26.72	1936	1246711	1
2025.07.09	22:00:00	26.72	26.79	26.55	26.63	2346	1288431	1
2025.07.09	22:30:00	26.63	26.73	26.53	26.62	4340	2762021	1
2025.07.10	16:30:00	27.38	27.51	26.66	26.86	14755	8683780	1
2025.07.10	17:00:00	26.87	27.33	26.70	27.30	9015	5752593	1
2025.07.10	17:30:00	27.31	27.57	27.27	27.32	7810	4867777	1
2025.07.10	18:00:00	27.33	27.73	27.30	27.68	5567	3269405	1
2025.07.10	18:30:00	27.68	27.70	27.54	27.61	3827	2384370	1
2025.07.10	19:00:00	27.61	27.63	27.35	27.54	3011	2026975	1
2025.07.10	19:30:00	27.55	27.66	27.44	27.45	2855	1814472	1
2025.07.10	20:00:00	27.45	27.59	27.42	27.53	1877	999336	1
2025.07.10	20:30:00	27.53	27.65	27.53	27.61	1740	1106554	1
2025.07.10	21:00:00	27.61	27.65	27.49	27.55	2027	1118756	1
2025.07.10	21:30:00	27.56	27.63	27.37	27.44	2311	1428761	1
2025.07.10	22:00:00	27.44	27.57	27.37	27.40	2270	1415729	1
2025.07.10	22:30:00	27.40	27.44	27.19	27.41	6111	2990863	1
2025.07.11	16:30:00	26.85	27.10	26.55	26.92	12004	6137321	1
2025.07.11	17:00:00	26.93	27.22	26.74	27.14	6618	3886450	1
2025.07.11	17:30:00	27.14	27.28	26.83	26.98	5844	3496172	1
2025.07.11	18:00:00	26.98	27.12	26.86	27.09	3836	2214633	1
2025.07.11	18:30:00	27.09	27.34	27.08	27.11	3389	2437247	1
2025.07.11	19:00:00	27.11	27.24	27.09	27.19	2565	1612449	1
2025.07.11	19:30:00	27.19	27.37	27.10	27.34	2323	1672459	1
2025.07.11	20:00:00	27.35	27.44	27.27	27.37	2253	1499373	1
2025.07.11	20:30:00	27.37	27.38	27.19	27.35	1940	1520025	1
2025.07.11	21:00:00	27.35	27.41	27.29	27.38	1740	891330	1
2025.07.11	21:30:00	27.38	27.54	27.37	27.38	2618	2039688	1
2025.07.11	22:00:00	27.38	27.43	27.10	27.31	3163	2147123	1
2025.07.11	22:30:00	27.31	27.42	27.24	27.26	5046	3259954	1
2025.07.14	16:30:00	26.65	26.65	25.32	25.53	29207	14414936	1
2025.07.14	17:00:00	25.55	26.28	25.48	25.95	12721	6850027	1
2025.07.14	17:30:00	25.95	26.25	25.84	26.15	5515	3230380	1
2025.07.14	18:00:00	26.15	26.43	26.11	26.31	5090	3125516	1
2025.07.14	18:30:00	26.31	26.46	26.23	26.39	4003	2407706	1
2025.07.14	19:00:00	26.39	26.59	26.35	26.40	3270	1921471	1
2025.07.14	19:30:00	26.40	26.60	26.28	26.58	2919	1834286	1
