Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($),Equity After Close
2025-11-04 20:00,2025-11-07 17:30,SHORT,100,44.71,39.52,519.0,100510.58
2025-11-07 18:00,2025-11-10 17:00,SHORT,100,38.21,44.83,-662.0,99840.27
2025-11-10 17:30,2025-11-13 18:00,LONG,200,44.75,40.11,-928.0,98895.3
2025-11-13 18:30,2025-11-18 17:00,SHORT,400,39.67,33.96,2284.0,101149.85
2025-11-18 17:30,2025-11-20 17:00,SHORT,100,34.01,38.82,-481.0,100661.57
2025-11-20 17:30,2025-11-20 19:30,LONG,200,38.66,33.35,-1062.0,99585.16
2025-11-20 20:00,2025-11-26 17:30,SHORT,400,33.18,37.92,-1896.0,97660.72
2025-11-26 18:00,2025-12-02 17:00,LONG,800,38.73,44.36,4504.0,102098.25
2025-12-02 17:30,2025-12-10 21:30,LONG,100,43.59,48.33,474.0,102563.06
2025-12-10 22:00,2025-12-11 17:00,LONG,100,49.72,45.05,-467.0,102086.58
2025-12-11 17:30,2025-12-12 21:30,SHORT,200,46.8,42.0,960.0,103028.82
2025-12-12 22:00,2025-12-17 18:00,SHORT,100,42.37,37.16,521.0,103541.87
2025-12-17 18:30,2025-12-19 17:00,SHORT,100,37.17,41.95,-478.0,103055.96
