<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.23	16:30:00	65.12	66.09	64.85	65.45	34258	11595111	1
2025.05.23	17:00:00	65.48	66.47	65.42	65.99	21300	7647154	1
2025.05.23	17:30:00	66.01	66.42	65.66	65.69	12216	4463000	1
2025.05.23	18:00:00	65.69	66.19	65.44	66.16	12115	4594078	1
2025.05.23	18:30:00	66.14	66.61	65.91	65.93	9778	3441917	1
2025.05.23	19:00:00	65.92	66.40	65.76	66.21	9040	3505354	1
2025.05.23	19:30:00	66.22	66.58	65.93	66.38	5957	2032973	1
2025.05.23	20:00:00	66.38	67.24	66.27	67.21	8027	2849915	1
2025.05.23	20:30:00	67.20	67.23	66.72	67.05	6477	2515799	1
2025.05.23	21:00:00	67.06	67.34	66.61	66.90	10425	3769161	1
2025.05.23	21:30:00	66.90	67.18	66.73	66.91	5792	2097034	1
2025.05.23	22:00:00	66.91	67.20	66.42	66.67	7971	2973005	1
2025.05.23	22:30:00	66.67	67.05	66.13	66.31	12161	4702258	1
2025.05.23	23:00:00	66.31	66.32	66.30	66.32	98	81744	1
2025.05.27	16:30:00	69.01	69.35	68.38	69.31	20292	7544382	1
2025.05.27	17:00:00	69.34	70.16	69.33	70.03	12366	4853419	1
2025.05.27	17:30:00	70.03	70.20	69.84	69.89	6865	2582835	1
2025.05.27	18:00:00	69.90	70.31	69.87	70.21	5277	2096539	1
2025.05.27	18:30:00	70.22	70.37	70.02	70.31	3908	1599828	1
2025.05.27	19:00:00	70.32	70.54	70.28	70.41	4054	1800872	1
2025.05.27	19:30:00	70.42	70.86	70.41	70.60	4983	2148341	1
2025.05.27	20:00:00	70.60	70.95	70.60	70.83	3586	1648555	1
2025.05.27	20:30:00	70.83	71.07	70.73	71.03	3311	1565514	1
2025.05.27	21:00:00	71.03	71.14	70.80	70.90	4022	2232871	1
2025.05.27	21:30:00	70.90	70.95	70.70	70.72	3546	1563622	1
2025.05.27	22:00:00	70.70	70.76	70.58	70.65	3207	1539590	1
2025.05.27	22:30:00	70.65	70.73	70.44	70.67	2738	1053448	1
2025.05.28	16:30:00	71.34	71.94	70.82	70.95	16900	6328168	1
2025.05.28	17:00:00	70.96	71.15	70.69	70.84	8431	3323875	1
2025.05.28	17:30:00	70.85	70.92	70.56	70.62	6230	2437624	1
2025.05.28	18:00:00	70.61	71.06	70.57	70.87	5606	2411836	1
2025.05.28	18:30:00	70.87	70.96	70.63	70.66	3888	1764453	1
2025.05.28	19:00:00	70.66	71.05	70.66	70.98	3636	1480084	1
2025.05.28	19:30:00	70.97	71.10	70.82	70.94	2708	1159362	1
2025.05.28	20:00:00	70.93	71.18	70.89	71.06	3660	1723060	1
2025.05.28	20:30:00	71.07	71.08	70.86	70.99	2651	1228281	1
2025.05.28	21:00:00	70.99	71.30	70.98	71.10	4145	2048469	1
2025.05.28	21:30:00	71.09	71.21	70.32	70.97	7217	2603564	1
2025.05.28	22:00:00	70.97	71.41	70.79	70.86	8114	2614807	1
2025.05.28	22:30:00	70.86	70.90	69.78	70.00	12224	4501467	1
2025.05.28	23:00:00	70.02	70.03	70.01	70.03	85	117619	1
2025.05.29	16:30:00	72.99	73.05	71.13	71.46	27370	9289464	1
2025.05.29	17:00:00	71.46	71.61	70.11	70.86	21629	6966801	1
2025.05.29	17:30:00	70.84	71.49	70.60	71.44	11854	4079620	1
2025.05.29	18:00:00	71.44	71.46	70.86	71.29	8451	2923587	1
2025.05.29	18:30:00	71.29	71.32	69.57	69.79	11707	4014734	1
2025.05.29	19:00:00	69.78	70.66	69.33	70.55	12736	4023312	1
2025.05.29	19:30:00	70.55	70.99	70.53	70.85	6044	2118684	1
2025.05.29	20:00:00	70.82	71.09	70.38	70.45	6276	2458942	1
2025.05.29	20:30:00	70.45	70.64	69.98	70.03	6499	2448401	1
2025.05.29	21:00:00	70.02	70.34	69.49	69.64	6868	2849395	1
2025.05.29	21:30:00	69.63	70.28	69.62	69.93	7132	2632760	1
2025.05.29	22:00:00	69.92	70.36	69.71	70.00	8738	2765808	1
2025.05.29	22:30:00	70.02	70.74	70.01	70.39	12339	4414903	1
2025.05.29	23:00:00	70.39	70.40	70.37	70.37	100	140589	1
2025.05.30	16:30:00	70.13	70.20	68.67	68.91	14626	4889040	1
2025.05.30	17:00:00	68.89	70.22	68.89	70.14	12271	3992519	1
2025.05.30	17:30:00	70.14	70.28	69.77	69.85	7841	2813091	1
2025.05.30	18:00:00	69.87	70.07	69.49	69.99	6142	2143642	1
2025.05.30	18:30:00	69.97	70.08	69.20	69.54	7992	2763713	1
2025.05.30	19:00:00	69.56	69.67	67.94	68.08	11559	3648586	1
2025.05.30	19:30:00	68.08	68.12	67.05	67.43	20822	6371312	1
2025.05.30	20:00:00	67.42	68.23	67.25	68.07	11519	4120597	1
2025.05.30	20:30:00	68.07	68.46	67.96	68.09	7456	2789368	1
2025.05.30	21:00:00	68.09	69.30	68.08	69.12	11424	3912728	1
2025.05.30	21:30:00	69.13	69.38	68.94	69.32	6754	2339394	1
2025.05.30	22:00:00	69.31	70.27	69.29	70.18	10969	4076194	1
2025.05.30	22:30:00	70.18	70.60	69.75	70.00	18753	6713685	1
2025.05.30	23:00:00	69.98	70.00	69.95	70.00	115	85354	1
2025.06.02	16:30:00	69.20	70.88	69.20	69.44	20255	6456038	1
2025.06.02	17:00:00	69.39	70.16	68.69	70.11	16357	5247252	1
2025.06.02	17:30:00	70.10	70.48	69.81	70.27	9514	3200646	1
2025.06.02	18:00:00	70.28	70.46	69.88	70.02	7695	2416184	1
2025.06.02	18:30:00	70.04	70.74	69.88	70.64	6447	2292311	1
2025.06.02	19:00:00	70.64	70.71	70.40	70.52	4765	1976589	1
2025.06.02	19:30:00	70.51	70.84	70.32	70.75	4108	1506092	1
2025.06.02	20:00:00	70.77	71.03	70.72	70.78	5694	2008244	1
2025.06.02	20:30:00	70.78	70.92	70.57	70.76	3653	1392441	1
2025.06.02	21:00:00	70.76	71.40	70.58	71.37	6457	2353309	1
2025.06.02	21:30:00	71.37	71.54	71.21	71.46	4922	2005402	1
2025.06.02	22:00:00	71.46	71.72	71.35	71.61	4820	1932857	1
2025.06.02	22:30:00	71.60	71.67	71.25	71.62	8681	3790189	1
2025.06.02	23:00:00	71.62	71.64	71.61	71.61	163	139526	1
2025.06.03	16:30:00	71.76	72.36	71.41	72.20	16238	5221623	1
2025.06.03	17:00:00	72.22	72.68	71.88	72.52	12157	4231509	1
2025.06.03	17:30:00	72.50	72.91	72.14	72.89	7637	2763913	1
2025.06.03	18:00:00	72.89	73.15	72.81	73.00	6819	2716839	1
2025.06.03	18:30:00	73.01	73.16	72.84	73.13	4749	1854699	1
2025.06.03	19:00:00	73.12	73.42	73.05	73.38	4538	1887079	1
2025.06.03	19:30:00	73.39	73.75	73.36	73.67	4986	2364946	1
2025.06.03	20:00:00	73.67	73.87	73.60	73.73	3452	1379773	1
2025.06.03	20:30:00	73.72	73.77	73.44	73.46	4583	1888542	1
2025.06.03	21:00:00	73.47	73.49	72.66	73.29	8818	3712540	1
2025.06.03	21:30:00	73.28	73.43	73.18	73.41	4203	1712280	1
2025.06.03	22:00:00	73.42	73.49	73.21	73.43	4431	1774653	1
2025.06.03	22:30:00	73.42	73.53	72.94	73.34	8672	3399788	1
2025.06.03	23:00:00	73.32	73.32	73.28	73.28	129	160841	1
2025.06.04	16:30:00	73.58	74.25	73.49	73.83	15270	5559463	1
2025.06.04	17:00:00	73.79	73.79	72.71	73.76	17999	6008737	1
2025.06.04	17:30:00	73.75	73.95	73.37	73.92	7730	3017205	1
2025.06.04	18:00:00	73.93	74.15	73.85	73.86	5492	2504254	1
2025.06.04	18:30:00	73.86	74.05	73.62	73.85	5913	2294569	1
2025.06.04	19:00:00	73.84	73.87	73.36	73.51	4548	2006905	1
2025.06.04	19:30:00	73.50	73.87	73.43	73.84	3698	1381073	1
2025.06.04	20:00:00	73.85	74.12	73.84	74.05	3580	1437494	1
2025.06.04	20:30:00	74.04	74.22	73.85	74.17	3812	1707643	1
2025.06.04	21:00:00	74.17	74.30	74.08	74.26	3692	1481047	1
2025.06.04	21:30:00	74.26	74.32	74.03	74.14	3644	1415406	1
2025.06.04	22:00:00	74.13	74.28	74.06	74.14	3078	1130169	1
2025.06.04	22:30:00	74.15	74.22	73.77	73.87	7234	3143138	1
2025.06.04	23:00:00	73.87	73.87	73.87	73.87	65	95006	1
2025.06.05	16:30:00	74.49	74.74	73.24	73.55	19973	6369853	1
2025.06.05	17:00:00	73.55	74.36	73.35	74.33	11027	3546755	1
2025.06.05	17:30:00	74.33	75.10	73.37	74.91	21054	6399432	1
2025.06.05	18:00:00	74.92	75.59	74.77	75.54	9584	3546950	1
2025.06.05	18:30:00	75.53	75.65	75.31	75.54	7269	2868852	1
2025.06.05	19:00:00	75.54	75.56	74.46	74.96	9620	3067718	1
2025.06.05	19:30:00	74.94	75.01	73.02	73.19	14287	4710548	1
2025.06.05	20:00:00	73.17	74.17	72.91	74.05	11009	4049304	1
2025.06.05	20:30:00	74.04	74.21	73.53	73.61	5922	2183987	1
2025.06.05	21:00:00	73.61	73.71	72.38	73.37	11660	3878287	1
2025.06.05	21:30:00	73.38	73.70	73.10	73.15	7846	2482343	1
2025.06.05	22:00:00	73.16	73.27	71.30	72.02	20794	6516304	1
2025.06.05	22:30:00	72.03	73.03	71.91	72.13	21961	6171731	1
2025.06.05	23:00:00	72.13	72.15	72.13	72.15	77	85094	1
2025.06.06	16:30:00	74.27	74.93	73.98	74.70	18638	6871611	1
2025.06.06	17:00:00	74.71	74.81	74.00	74.16	10692	3432748	1
2025.06.06	17:30:00	74.15	74.72	73.96	74.52	7382	2678142	1
2025.06.06	18:00:00	74.51	74.97	73.69	74.22	10904	3653927	1
2025.06.06	18:30:00	74.20	74.59	74.03	74.38	5366	1918589	1
2025.06.06	19:00:00	74.38	74.65	74.12	74.22	3802	1411001	1
2025.06.06	19:30:00	74.21	74.30	73.54	73.87	5749	2121757	1
2025.06.06	20:00:00	73.87	74.35	73.69	74.19	5027	2064244	1
2025.06.06	20:30:00	74.20	74.56	74.20	74.52	3421	1503483	1
2025.06.06	21:00:00	74.52	74.94	74.52	74.73	4806	2036200	1
2025.06.06	21:30:00	74.74	75.01	74.58	74.65	5811	2338401	1
2025.06.06	22:00:00	74.66	74.77	74.30	74.39	4190	1777440	1
2025.06.06	22:30:00	74.39	74.58	74.16	74.19	7072	3061272	1
2025.06.06	23:00:00	74.21	74.21	74.21	74.21	58	99952	1
2025.06.09	16:30:00	74.31	74.53	73.84	74.20	11729	4498279	1
2025.06.09	17:00:00	74.21	75.00	74.21	74.86	8803	3164886	1
2025.06.09	17:30:00	74.87	75.23	74.64	74.76	8011	3127579	1
2025.06.09	18:00:00	74.77	75.03	74.47	74.58	5649	1998237	1
2025.06.09	18:30:00	74.58	74.82	74.54	74.73	3943	1485495	1
2025.06.09	19:00:00	74.73	74.84	74.50	74.63	3510	1246612	1
2025.06.09	19:30:00	74.66	75.18	74.64	75.05	4095	1663062	1
2025.06.09	20:00:00	75.04	75.16	74.68	74.92	4134	1692442	1
2025.06.09	20:30:00	74.92	75.13	74.79	75.01	2552	1101561	1
2025.06.09	21:00:00	75.01	75.09	74.91	75.00	2041	799643	1
2025.06.09	21:30:00	74.99	75.12	74.75	75.04	2875	1209135	1
2025.06.09	22:00:00	75.04	75.09	74.81	74.92	3029	1348810	1
2025.06.09	22:30:00	74.91	74.99	74.50	74.55	6866	2897173	1
2025.06.09	23:00:00	74.54	74.55	74.54	74.54	73	125161	1
2025.06.10	16:30:00	74.73	75.30	74.55	74.94	13608	4657972	1
2025.06.10	17:00:00	74.93	75.18	74.85	75.09	6644	2611386	1
2025.06.10	17:30:00	75.10	75.25	74.86	74.89	5217	2153302	1
2025.06.10	18:00:00	74.89	75.13	74.81	74.92	4554	2085534	1
2025.06.10	18:30:00	74.92	75.11	73.76	75.09	12860	4600567	1
2025.06.10	19:00:00	75.09	75.50	75.06	75.43	5752	2532871	1
2025.06.10	19:30:00	75.44	75.49	75.28	75.45	2646	1072212	1
2025.06.10	20:00:00	75.44	75.66	75.24	75.25	3694	1687523	1
2025.06.10	20:30:00	75.25	75.28	75.02	75.08	3799	1622235	1
