Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($),Equity After Close
2025-05-27 20:00,2025-05-27 20:30,LONG,100,70.6,70.83,23.0,100008.86
2025-05-27 21:00,2025-05-27 21:30,LONG,100,71.03,70.9,-13.0,99981.66
2025-05-27 22:00,2025-05-28 17:00,SHORT,200,70.7,70.96,-52.0,99901.33
2025-05-28 17:30,2025-05-28 18:00,LONG,400,70.85,70.61,-96.0,99748.75
2025-05-28 18:30,2025-05-28 19:00,SHORT,800,70.87,70.66,168.0,99803.52
2025-05-28 19:30,2025-05-28 21:30,LONG,100,70.97,71.09,12.0,99801.32
2025-05-28 22:00,2025-05-28 22:30,LONG,100,70.97,70.86,-11.0,99776.14
2025-05-28 23:00,2025-05-29 17:00,SHORT,200,70.02,71.46,-288.0,99459.84
2025-05-29 17:30,2025-05-29 18:00,LONG,400,70.84,71.44,240.0,99642.93
2025-05-29 18:30,2025-05-29 19:00,LONG,100,71.29,69.78,-151.0,99477.82
2025-05-29 19:30,2025-05-29 20:00,SHORT,200,70.55,70.82,-54.0,99395.55
2025-05-29 20:30,2025-05-29 21:00,LONG,400,70.45,70.02,-172.0,99167.36
2025-05-29 21:30,2025-05-29 22:00,SHORT,800,69.63,69.92,-232.0,98823.72
2025-11-20 17:00,2025-11-20 17:30,LONG,1600,53.33,53.23,-160.0,98493.22
