<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.10	16:30:00	51.22	51.30	51.18	51.21	8	25760000	0
2020.01.10	17:00:00	51.33	51.36	51.24	51.35	37	117110000	0
2020.01.10	17:30:00	51.35	51.62	51.33	51.58	14	56830000	0
2020.01.10	18:00:00	51.56	51.67	51.55	51.67	8	33120000	0
2020.01.10	18:30:00	51.69	51.69	51.63	51.64	4	9500000	0
2020.01.10	19:00:00	51.65	51.65	51.65	51.65	2	7300000	0
2020.01.10	19:30:00	51.57	51.58	51.57	51.58	6	19000000	0
2020.01.10	20:30:00	51.60	51.60	51.57	51.59	11	18650000	0
2020.01.10	21:00:00	51.57	51.57	51.52	51.54	6	57300000	0
2020.01.10	21:30:00	51.56	51.59	51.56	51.58	6	13820000	0
2020.01.10	22:00:00	51.63	51.64	51.61	51.61	4	22500000	0
2020.01.10	22:30:00	51.69	51.69	51.64	51.68	16	22700000	0
2020.01.13	16:30:00	51.26	51.27	50.96	51.06	38	111550000	0
2020.01.13	17:00:00	50.98	51.10	50.94	51.10	17	44410000	0
2020.01.13	17:30:00	51.16	51.16	51.09	51.09	4	7000000	0
2020.01.13	18:00:00	51.06	51.23	51.04	51.23	18	26470000	0
2020.01.13	18:30:00	51.11	51.11	51.05	51.05	4	5720000	0
2020.01.13	19:00:00	51.01	51.08	51.00	51.05	10	69480000	0
2020.01.13	19:30:00	50.93	51.01	50.93	50.96	7	8000000	0
2020.01.13	20:00:00	50.97	50.99	50.94	50.99	5	5000000	0
2020.01.13	20:30:00	50.98	50.98	50.95	50.95	4	5000000	0
2020.01.13	21:00:00	50.98	50.98	50.88	50.94	8	37600000	0
2020.01.13	21:30:00	50.98	50.99	50.95	50.95	4	16000000	0
2020.01.13	22:00:00	50.97	51.00	50.96	51.00	7	18360000	0
2020.01.13	22:30:00	50.96	50.96	50.88	50.89	20	44270000	0
2020.01.14	16:30:00	50.58	50.73	50.58	50.73	17	41800000	0
2020.01.14	17:00:00	50.68	50.68	50.50	50.50	9	14970000	0
2020.01.14	17:30:00	50.51	50.52	50.44	50.45	5	15610000	0
2020.01.14	18:00:00	50.56	50.57	50.51	50.51	6	18940000	0
2020.01.14	18:30:00	50.53	50.53	50.49	50.49	10	40320000	0
2020.01.14	19:00:00	50.50	50.51	50.49	50.51	4	40120000	0
2020.01.14	19:30:00	50.51	50.56	50.51	50.56	5	10000000	0
2020.01.14	20:00:00	50.51	50.60	50.51	50.60	6	7110000	0
2020.01.14	20:30:00	50.62	50.85	50.62	50.67	15	36300000	0
2020.01.14	21:00:00	50.72	50.74	50.72	50.74	2	4000000	0
2020.01.14	21:30:00	50.71	50.71	50.71	50.71	1	3000000	0
2020.01.14	22:00:00	50.73	50.75	50.73	50.75	4	13000000	0
2020.01.14	22:30:00	50.74	50.78	50.72	50.78	201	438340000	0
2020.01.15	16:30:00	51.14	51.16	50.88	50.93	43	68540000	0
2020.01.15	17:00:00	50.87	50.97	50.87	50.96	7	8000000	0
2020.01.15	17:30:00	51.01	51.01	50.88	50.89	14	53000000	0
2020.01.15	18:00:00	50.87	51.03	50.87	51.01	11	15300000	0
2020.01.15	18:30:00	50.96	51.08	50.96	51.08	3	7000000	0
2020.01.15	19:00:00	51.09	51.13	51.03	51.13	8	9320000	0
2020.01.15	19:30:00	51.14	51.25	51.12	51.24	19	50610000	0
2020.01.15	20:00:00	51.22	51.24	51.17	51.18	7	20550000	0
2020.01.15	20:30:00	51.24	51.36	51.21	51.36	6	12500000	0
2020.01.15	21:00:00	51.30	51.33	51.28	51.33	7	22000000	0
2020.01.15	21:30:00	51.47	51.47	51.31	51.34	13	21680000	0
2020.01.15	22:00:00	51.28	51.37	51.24	51.37	25	46000000	0
2020.01.15	22:30:00	51.36	51.40	51.29	51.34	15	25740000	0
2020.01.16	16:30:00	51.16	51.18	50.98	51.18	24	72130000	0
2020.01.16	17:00:00	51.28	51.28	50.97	50.98	19	22080000	0
2020.01.16	17:30:00	51.01	51.01	50.85	50.96	23	46600000	0
2020.01.16	18:00:00	50.93	50.96	50.90	50.91	14	27300000	0
2020.01.16	18:30:00	50.93	50.97	50.93	50.93	3	11740000	0
2020.01.16	19:00:00	50.99	51.05	50.99	51.05	2	2000000	0
2020.01.16	19:30:00	51.05	51.05	51.03	51.04	5	7500000	0
2020.01.16	20:30:00	50.91	50.95	50.90	50.95	7	10000000	0
2020.01.16	21:00:00	51.01	51.03	51.01	51.03	3	3000000	0
2020.01.16	22:30:00	51.05	51.13	51.05	51.13	3	4560000	0
2020.01.17	16:30:00	51.32	51.46	51.32	51.46	8	47900000	0
2020.01.17	17:00:00	51.44	51.44	51.20	51.29	6	75150000	0
2020.01.17	17:30:00	51.29	51.33	51.27	51.33	7	7000000	0
2020.01.17	18:00:00	51.35	51.38	51.35	51.38	9	57690000	0
2020.01.17	18:30:00	51.40	51.48	51.40	51.44	15	34870000	0
2020.01.17	19:00:00	51.46	51.53	51.42	51.51	11	19100000	0
2020.01.17	19:30:00	51.50	51.59	51.50	51.59	4	13000000	0
2020.01.17	20:00:00	51.56	51.58	51.56	51.58	2	2000000	0
2020.01.17	20:30:00	51.61	51.63	51.59	51.59	6	14000000	0
2020.01.17	21:00:00	51.60	51.60	51.60	51.60	1	1000000	0
2020.01.17	21:30:00	51.64	51.64	51.62	51.62	3	12000000	0
2020.01.17	22:00:00	51.59	51.64	51.59	51.64	6	10000000	0
2020.01.17	22:30:00	51.53	51.53	51.34	51.34	11	19310000	0
2020.01.21	16:30:00	50.76	51.06	50.74	51.06	12	77470000	0
2020.01.21	17:00:00	51.08	51.35	51.06	51.33	22	63310000	0
2020.01.21	17:30:00	51.35	51.52	51.32	51.45	14	44700000	0
2020.01.21	18:00:00	51.43	51.43	51.38	51.38	4	13500000	0
2020.01.21	18:30:00	51.39	51.47	51.39	51.41	8	9000000	0
2020.01.21	19:00:00	51.42	51.43	51.41	51.43	13	72620000	0
2020.01.21	19:30:00	51.39	51.41	51.38	51.38	4	7810000	0
2020.01.21	20:00:00	51.30	51.50	51.30	51.43	6	22000000	0
2020.01.21	21:00:00	51.50	51.50	51.40	51.43	3	23950000	0
2020.01.21	21:30:00	51.45	51.47	51.45	51.47	2	6000000	0
2020.01.21	22:00:00	51.40	51.44	51.36	51.44	16	29950000	0
2020.01.21	22:30:00	51.44	51.50	51.41	51.45	42	149340000	0
2020.01.22	16:30:00	51.35	51.50	51.35	51.50	5	30600000	0
2020.01.22	17:00:00	51.37	51.37	51.25	51.25	7	9900000	0
2020.01.22	17:30:00	51.25	51.31	51.25	51.31	2	3350000	0
2020.01.22	18:00:00	51.38	51.40	51.38	51.40	2	7200000	0
2020.01.22	18:30:00	51.34	51.34	51.30	51.30	7	21500000	0
2020.01.22	19:00:00	51.36	51.40	51.36	51.40	3	7650000	0
2020.01.22	19:30:00	51.42	51.42	51.40	51.41	7	48000000	0
2020.01.22	20:00:00	51.47	51.47	51.36	51.36	2	51000000	0
2020.01.22	20:30:00	51.37	51.38	51.36	51.38	5	21670000	0
2020.01.22	21:00:00	51.37	51.37	51.37	51.37	1	1000000	0
2020.01.22	21:30:00	51.41	51.41	51.41	51.41	2	4000000	0
2020.01.22	22:00:00	51.43	51.43	51.43	51.43	1	3000000	0
2020.01.22	22:30:00	51.45	51.49	51.45	51.49	4	6500000	0
2020.01.23	16:30:00	51.41	51.82	51.41	51.80	39	82200000	0
2020.01.23	17:00:00	51.73	51.73	51.60	51.63	8	10000000	0
2020.01.23	17:30:00	51.58	51.77	51.58	51.77	4	8520000	0
2020.01.23	18:00:00	51.76	51.97	51.76	51.97	9	34910000	0
2020.01.23	18:30:00	51.97	52.03	51.86	51.86	9	15500000	0
2020.01.23	19:00:00	51.82	51.82	51.79	51.79	2	2000000	0
2020.01.23	19:30:00	51.91	52.07	51.91	52.07	15	25290000	0
2020.01.23	20:00:00	52.07	52.07	51.90	51.93	11	23100000	0
2020.01.23	20:30:00	51.90	51.90	51.74	51.74	25	42660000	0
2020.01.23	21:00:00	51.70	51.73	51.60	51.73	12	14000000	0
2020.01.23	21:30:00	51.76	51.76	51.74	51.74	2	2000000	0
2020.01.23	22:00:00	51.81	51.81	51.77	51.77	5	7000000	0
2020.01.23	22:30:00	51.70	51.76	51.70	51.70	13	19000000	0
2020.01.24	16:30:00	51.58	51.96	51.58	51.87	15	53750000	0
2020.01.24	17:00:00	51.86	52.50	51.86	52.49	16	39620000	0
2020.01.24	17:30:00	52.56	52.56	52.30	52.35	22	189660000	0
2020.01.24	18:00:00	52.24	52.39	52.21	52.39	16	49300000	0
2020.01.24	18:30:00	52.44	52.44	52.32	52.36	16	29250000	0
2020.01.24	19:00:00	52.40	52.55	52.40	52.48	22	90940000	0
2020.01.24	19:30:00	52.42	52.43	52.32	52.32	6	8000000	0
2020.01.24	20:00:00	52.40	52.40	52.39	52.39	2	2000000	0
2020.01.24	20:30:00	52.49	52.52	52.39	52.39	9	30000000	0
2020.01.24	21:00:00	52.44	52.54	52.41	52.49	12	27750000	0
2020.01.24	21:30:00	52.43	52.48	52.27	52.27	9	23420000	0
2020.01.24	22:00:00	52.26	52.28	52.20	52.28	7	65750000	0
2020.01.24	22:30:00	52.29	52.38	52.28	52.31	14	45100000	0
2020.01.27	16:30:00	53.26	53.26	52.75	52.83	65	162350000	0
2020.01.27	17:00:00	52.90	53.01	52.87	52.87	27	54330000	0
