Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($),Equity After Close
2025-10-09 20:00,2025-10-10 21:00,SHORT,100,60.08,57.56,252.0,100240.24
2025-10-10 21:30,2025-10-13 17:30,SHORT,100,57.5,54.39,311.0,100540.05
2025-10-13 18:00,2025-10-14 17:00,SHORT,100,54.11,51.16,295.0,100824.52
2025-10-14 17:30,2025-10-16 19:00,SHORT,100,52.01,48.77,324.0,101138.44
2025-10-16 19:30,2025-10-17 17:30,SHORT,100,48.36,45.62,274.0,101403.04
2025-10-17 18:00,2025-10-20 17:00,SHORT,100,45.61,51.01,-540.0,100853.38
2025-10-20 17:30,2025-10-22 17:30,LONG,200,51.06,47.92,-628.0,100205.59
2025-10-22 18:00,2025-10-27 16:00,SHORT,400,48.88,54.48,-2240.0,97924.24
2025-10-27 16:30,2025-10-29 16:00,LONG,800,54.15,51.61,-2032.0,95807.63
2025-10-29 16:30,2025-10-30 16:00,SHORT,1600,51.04,46.7,6944.0,102595.25
2025-10-30 16:30,2025-11-04 17:00,SHORT,100,47.0,43.88,312.0,102898.16
2025-11-04 17:30,2025-11-04 19:30,SHORT,100,43.81,41.12,269.0,103158.67
2025-11-04 20:00,2025-11-05 20:30,SHORT,100,40.81,43.34,-253.0,102897.25
2025-11-05 21:00,2025-11-06 19:00,LONG,200,43.52,40.59,-586.0,102294.43
2025-11-06 19:30,2025-11-10 17:00,SHORT,400,41.03,43.79,-1104.0,101156.5
2025-11-10 17:30,2025-11-12 18:00,LONG,800,44.33,41.45,-2304.0,98783.88
2025-11-12 18:30,2025-11-13 21:00,SHORT,1600,41.15,38.46,4304.0,102960.5
2025-11-13 21:30,2025-11-14 20:00,SHORT,100,38.92,36.34,258.0,103210.98
2025-11-14 20:30,2025-11-17 20:00,SHORT,100,36.49,33.93,256.0,103459.94
2025-11-17 20:30,2025-11-19 20:30,SHORT,100,33.69,31.17,252.0,103705.45
2025-11-19 21:00,2025-11-21 17:00,SHORT,100,31.33,28.34,299.0,103998.48
2025-11-21 17:30,2025-11-24 19:30,SHORT,100,27.44,30.14,-270.0,103722.72
2025-11-24 20:00,2025-12-01 17:30,LONG,200,30.61,27.48,-626.0,103085.11
2025-12-01 18:00,2025-12-02 17:00,SHORT,400,27.33,30.36,-1212.0,101850.03
2025-12-02 17:30,2025-12-09 19:00,LONG,800,30.95,33.57,2096.0,103894.41
2025-12-09 19:30,2025-12-11 17:00,LONG,100,33.31,30.24,-307.0,103581.06
2025-12-11 17:30,2025-12-15 17:30,SHORT,200,30.75,27.64,622.0,104191.38
2025-12-15 18:00,2026-01-05 17:00,SHORT,100,27.78,31.66,-388.0,103797.44
